 Warranty","Commercial
 Warranty",Profile/Builder,Profile/Retail,Finish,Locking System,Installation Method,Product Construction,Marketing Pad Name,Attached Pad,Product UPC Code,Baby Threshold Style #,Multi-Purpose Reducer Style #,Multi-Purpose Reducer Style #,T-Molding Style #,T Molding Style #,"Omni Trim Multi purpose reducer - 94""",Qtr Round Style #,Overlap StairNose Style #,Flush StairNose Style #,Square StairNose,Round Stair Tread,Square Stair Tread,Treadz Center,Treadz Right,Treadz Left,Stair Riser
Q1 2022,ASCENT Natural Bevel,Dwell,V2832,ASCENT Natural Bevel,5180,Dwell,2832V,ASCENT,5180,Dwell,A,FLOORTE CLASSIC,M,BIEGE,Medium,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364470,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Legend,V2832,ASCENT Natural Bevel,6030,Legend,2832V,ASCENT,6030,Legend,A,FLOORTE CLASSIC,M,BIEGE,Medium,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364487,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
Q1 2022,ASCENT Natural Bevel,Habitat,V2832,ASCENT Natural Bevel,7259,Habitat,2832V,ASCENT,7259,Habitat,A,FLOORTE CLASSIC,M,BIEGE,Medium,EIR,Oak,,,VE460,VANTAGE POINT,,,,,72.83,9.37,2.13,73.43,38.58,4.72,2231.53,CHINA,PURCHASED,8.85,72.04,9,72,1.5,8,5/16,43.65,6,26.56,1381.12,52,12,20,0.02,0.51,8,Yes,Yes,Yes,,LIFETIME,10 YEAR LIGHT COMMERCIAL,,Natural Bevel,SCUFF RESIST PLATNIUM,FOLD-N-TAP,Float or Glue,WPC,,YES,190402364463,BT7HS,,RD7HS,,TM7HS,,QTRHS,N/A,FS7HS,,TR1HS,,,,,LVWRI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2019,ANVIL PLUS,CHATTER OAK,V2032,ANVIL PLUS,295,CHATTER OAK,2032V,ANVIL PLUS,295,CHATTER OAK,A,FLOORTE PRO,M,Gold-Yellow,Light,All-Over Emboss,OAK,N/A,N/A,VE285,BRIO PLUS,VE462,CLEVELAND PLUS,,,48.94,7.48,2.28,49.8,38.78,4.72,2303.83,CHINA,PURCHASED,6.93,48.03,7,48,1,4.4,3/16,40.79,12,27.73,"1,525.15",55,20,6,0.006,0.15,5,YES,YES,YES,,LIFETIME,7 YEAR LIGHT COMMERCIAL,,SQUARE,ARMOURBEAD,Click,FLOAT OR GLUE,SPC,,Y,190402136442,VSBT2,,VHMPR,,VHTMD,,VSQT1,,VFSN4,,TR1HS,,,,,LVWRI
SPRING 2019,ANVIL PLUS,RIVER BEND OAK,V2032,ANVIL PLUS,296,RIVER BEND OAK,2032V,ANVIL PLUS,296,RIVER BEND OAK,F,FLOORTE PRO,M,Gold-Yellow,Light,All-Over Emboss,OAK,N/A,N/A,VE285,BRIO PLUS,VE462,CLEVELAND PLUS,,,48.94,7.48,2.28,49.8,38.78,4.72,2303.83,CHINA,PURCHASED,6.93,48.03,7,48,1,4.4,3/16,40.79,12,27.73,"1,525.15",55,20,6,0.006,0.15,5,YES,YES,YES,,LIFETIME,7 YEAR LIGHT COMMERCIAL,,SQUARE,ARMOURBEAD,Click,FLOAT OR GLUE,SPC,,Y,190402136459,VSBT2,,VHMPR,,VHTMD,,VSQT1,,VFSN4,,TR1HS,,,,,LVWRI
SPRING 2019,ANVIL PLUS,MINERAL MAPLE,V2032,ANVIL PLUS,297,MINERAL MAPLE,2032V,ANVIL PLUS,297,MINERAL MAPLE,A,FLOORTE PRO,M,Gold-Yellow,Light,All-Over Emboss,MAPLE,N/A,N/A,VE285,BRIO PLUS,VE462,CLEVELAND PLUS,,,48.94,7.48,2.28,49.8,38.78,4.72,2303.83,CHINA,PURCHASED,6.93,48.03,7,48,1,4.4,3/16,40.79,12,27.73,"1,525.15",55,20,6,0.006,0.15,5,YES,YES,YES,,LIFETIME,7 YEAR LIGHT COMMERCIAL,,SQUARE,ARMOURBEAD,Click,FLOAT OR GLUE,SPC,,Y,190402136473,VSBT2,,VHMPR,,VHTMD,,VSQT1,,VFSN4,,TR1HS,,,,,LVWRI
SPRING 2019,ANVIL PLUS,DARK ELM,V2032,ANVIL PLUS,915,DARK ELM,2032V,ANVIL PLUS,915,DARK ELM,A,FLOORTE PRO,M,Purple-Black,Medium,All-Over Emboss,ELM,N/A,N/A,VE285,BRIO PLUS,VE462,CLEVELAND PLUS,,,48.94,7.48,2.28,49.8,38.78,4.72,2303.83,CHINA,PURCHASED,6.93,48.03,7,48,1,4.4,3/16,40.79,12,27.73,"1,525.15",55,20,6,0.006,0.15,5,YES,YES,YES,,LIFETIME,7 YEAR LIGHT COMMERCIAL,,SQUARE,ARMOURBEAD,Click,FLOAT OR GLUE,SPC,,Y,190402136404,VSBT2,,VHMPR,,VHTMD,,VSQT1,,VFSN4,,TR1HS,,,,,LVWRI
SPRING 2019,ANVIL PLUS,BEACH OAK,V2032,ANVIL PLUS,1023,BEACH OAK,2032V,ANVIL PLUS,1023,BEACH OAK,A,FLOORTE PRO,M,White-Beige,Light,All-Over Emboss,OAK,N/A,N/A,VE285,BRIO PLUS,VE462,CLEVELAND PLUS,,,48.94,7.48,2.28,49.8,38.78,4.72,2303.83,CHINA,PURCHASED,6.93,48.03,7,48,1,4.4,3/16,40.79,12,27.73,"1,525.15",55,20,6,0.006,0.15,5,YES,YES,YES,,LIFETIME,7 YEAR LIGHT COMMERCIAL,,SQUARE,ARMOURBEAD,Click,FLOAT OR GLUE,SPC,,Y,190402136435,VSBT2,,VHMPR,,VHTMD,,VSQT1,,VFSN4,,TR1HS,,,,,LVWRI
SPRING 2019,ANVIL PLUS,CLEAN PINE,V2032,ANVIL PLUS,5077,CLEAN PINE,2032V,ANVIL PLUS,5077,CLEAN PINE,A,FLOORTE PRO,L,Gray,Light,All-Over Emboss,PINE,N/A,N/A,VE285,BRIO PLUS,VE462,CLEVELAND PLUS,,,48.94,7.48,2.28,49.8,38.78,4.72,2303.83,CHINA,PURCHASED,6.93,48.03,7,48,1,4.4,3/16,40.79,12,27.73,"1,525.15",55,20,6,0.006,0.15,5,YES,YES,YES,,LIFETIME,7 YEAR LIGHT COMMERCIAL,,SQUARE,ARMOURBEAD,Click,FLOAT OR GLUE,SPC,,Y,190402136480,VSBT2,,VHMPR,,VHTMD,,VSQT1,,VFSN4,,TR1HS,,,,,LVWRI
